Time,Value
92.85,6.623166
92.9,6.031347
92.95,4.963604
93,3.963903
93.05,3.515023
93.1,3.767686
93.15,4.137382
93.2,4.086947
93.25,3.856626
93.3,3.858778
93.35,3.902135
93.4,3.983246
93.45,3.533408
93.5,3.21121
93.55,2.965142
93.6,2.576946
93.65,2.196687
93.7,2.07266
93.75,1.988972
93.8,1.967961
93.85,2.224954
93.9,2.656376
93.95,2.798161
94,2.392974
94.05,1.875836
94.1,1.735987
94.15,2.273834
94.2,2.735941
94.25,2.598251
94.3,1.902155
94.35,1.401112
94.4,0.9773743
94.45,0.7945915
94.5,1.020618
94.55,1.735351
94.6,2.017803
94.65,1.806643
94.7,1.598898
94.75,1.531292
94.8,1.499783
94.85,1.385057
94.9,1.34481
94.95,1.498968
95,1.440335
95.05,1.154659
95.1,1.31488
95.15,1.595825
95.2,1.833034
95.25,1.602698
95.3,1.197261
95.35,0.6993666
95.4,0.2795906
95.45,5.97E-02
95.5,0.4122032
95.55,0.9972494
95.6,1.034252
95.65,0.4423551
95.7,-0.2342006
95.75,-0.4111264
95.8,-0.3809948
95.85,-0.3821412
