Time,Value
49.85,51.29542
49.9,51.49798
49.95,51.49491
50,51.37653
50.05,51.42258
50.1,51.57557
50.15,51.2898
50.2,50.85434
50.25,50.90123
50.3,51.06495
50.35,51.19079
50.4,51.10479
50.45,51.26648
50.5,51.61917
50.55,51.53809
50.6,50.873
50.65,50.14496
50.7,49.59441
50.75,49.48792
50.8,50.15872
50.85,50.64279
50.9,51.32823
50.95,51.28116
51,50.83191
51.05,50.06288
51.1,49.41166
51.15,49.21386
51.2,49.42571
51.25,49.71098
51.3,49.80981
51.35,49.97945
51.4,50.01003
51.45,50.03212
51.5,49.75954
51.55,49.18444
51.6,48.85574
51.65,48.74653
51.7,48.5571
51.75,48.27
51.8,48.02974
51.85,47.85489
51.9,47.57979
51.95,47.13704
52,46.98956
52.05,47.45424
52.1,47.56998
52.15,47.69723
52.2,47.65296
52.25,47.65894
52.3,47.42738
52.35,47.26726
52.4,47.17915
52.45,47.14195
52.5,47.12489
52.55,46.93219
52.6,46.82943
52.65,46.66869
52.7,46.38035
52.75,46.13904
52.8,46.10177
52.85,45.41711
52.9,45.27358
52.95,45.56958
53,45.89858
53.05,46.05655
53.1,45.94877
53.15,45.74363
53.2,45.6561
53.25,45.10162
53.3,44.57126
53.35,44.52914
53.4,44.42155
53.45,43.94469
53.5,43.88083
53.55,44.04536
53.6,44.19573
53.65,43.85815
53.7,43.1219
53.75,42.66875
53.8,42.75518
53.85,42.86597
53.9,42.84362
53.95,43.00552
54,42.84921
54.05,42.35591
54.1,42.13705
54.15,42.14108
54.2,42.22124
54.25,41.97815
54.3,41.68514
54.35,41.5513
54.4,41.46166
54.45,41.42928
54.5,41.30369
54.55,41.42624
54.6,41.09519
54.65,40.54584
54.7,40.1807
54.75,39.90362
54.8,39.53802
54.85,39.63669
54.9,39.6334
54.95,39.49017
55,39.36509
55.05,39.11293
55.1,39.09749
55.15,39.25226
55.2,39.20575
55.25,39.06009
55.3,39.08749
55.35,38.55746
55.4,37.93746
55.45,37.33442
55.5,37.07955
55.55,37.07907
55.6,37.04388
55.65,36.86107
55.7,36.651
55.75,36.54475
55.8,36.13511
55.85,35.75146
55.9,36.09448
55.95,36.2355
56,36.45274
56.05,36.41034
56.1,35.94093
56.15,35.50028
56.2,35.20887
56.25,34.98679
56.3,34.8868
56.35,34.83623
56.4,34.66676
56.45,34.64211
56.5,34.5593
56.55,33.93666
56.6,34.06316
56.65,34.03347
56.7,33.85572
56.75,33.54221
56.8,33.27183
56.85,32.97737
56.9,32.60165
56.95,32.26912
57,32.05047
57.05,32.18879
57.1,31.74676
57.15,31.93733
57.2,32.17884
57.25,32.27961
57.3,31.84338
57.35,31.29683
57.4,30.69885
57.45,30.31449
57.5,30.12802
57.55,30.15807
57.6,30.50359
57.65,30.50499
57.7,30.49179
57.75,30.03989
57.8,29.5721
57.85,29.38239
57.9,29.29331
57.95,28.82135
58,28.60317
58.05,28.43258
58.1,28.26261
58.15,28.19327
58.2,28.18374
58.25,28.2731
58.3,28.32318
58.35,28.4845
58.4,28.4349
58.45,28.50119
58.5,28.18404
58.55,27.88046
58.6,27.43703
58.65,27.15623
58.7,26.90859
58.75,26.67429
58.8,26.38127
58.85,25.93228
58.9,25.70513
58.95,25.4871
59,25.43152
59.05,25.54363
59.1,26.04576
59.15,25.74262
59.2,25.21571
59.25,24.58387
59.3,24.06238
59.35,23.71432
59.4,23.5757
59.45,23.72149
59.5,24.00722
59.55,24.01168
59.6,23.57498
59.65,23.56548
59.7,23.13349
59.75,22.63722
59.8,22.14874
59.85,21.77675
59.9,21.76686
59.95,21.76951
60,21.74415
60.05,21.79052
60.1,21.75369
60.15,21.62922
60.2,21.63914
60.25,21.4759
60.3,21.60656
60.35,21.63026
60.4,21.30196
60.45,20.97748
60.5,20.5655
60.55,20.23899
60.6,19.95047
60.65,19.54524
60.7,19.17087
60.75,19.03225
60.8,19.02472
60.85,19.39822
60.9,19.76381
60.95,19.94625
61,19.68767
61.05,19.10672
61.1,18.51458
61.15,18.23075
61.2,17.87799
61.25,17.91806
61.3,18.35938
61.35,18.54788
61.4,18.46535
61.45,18.38894
61.5,18.44959
61.55,18.20091
61.6,17.74269
61.65,17.51735
61.7,17.60867
61.75,17.32228
61.8,17.04706
61.85,16.86777
61.9,16.68006
61.95,16.42008
62,15.99323
62.05,15.42706
62.1,15.04289
62.15,14.76356
62.2,14.82831
62.25,15.16779
62.3,15.18108
62.35,14.89641
62.4,14.386
62.45,14.15432
62.5,14.3332
62.55,14.58788
62.6,14.57237
62.65,14.29766
62.7,13.94047
62.75,13.2897
62.8,12.86222
62.85,12.77574
62.9,13.01429
62.95,13.04571
63,12.80389
63.05,12.56121
63.1,12.54545
63.15,12.53837
63.2,12.3742
63.25,12.21644
63.3,12.17318
63.35,12.14236
63.4,12.21579
63.45,12.09694
63.5,12.16108
63.55,12.19905
63.6,11.98224
63.65,11.77388
63.7,11.47012
63.75,11.06926
63.8,10.8139
63.85,10.73837
63.9,10.69304
63.95,10.73254
64,10.76899
64.05,10.79858
64.1,10.83329
64.15,10.43284
64.2,10.27241
64.25,10.02863
64.3,9.762768
64.35,9.656017
64.4,9.631378
64.45,9.558247
64.5,9.346888
64.55,9.017735
64.6,8.851273
64.65,8.908525
64.7,8.933488
64.75,9.099046
64.8,9.032379
64.85,9.075646
64.9,8.800979
64.95,8.32928
65,7.942429
65.05,7.738431
65.1,7.678418
65.15,7.776649
65.2,7.978365
65.25,7.988761
65.3,8.03982
65.35,7.601762
65.4,7.374601
65.45,7.288702
65.5,7.321894
65.55,7.237869
65.6,7.215194
65.65,7.061383
65.7,6.8934
65.75,6.879589
65.8,6.890368
65.85,6.867212
65.9,6.595878
65.95,6.436302
66,6.314417
66.05,6.075904
66.1,5.676302
66.15,5.580961
66.2,5.501864
66.25,5.350244
66.3,5.216028
66.35,5.446545
66.4,5.916904
66.45,6.024783
66.5,5.954559
66.55,5.886265
66.6,6.022422
66.65,5.660694
66.7,5.115145
66.75,4.739522
66.8,4.627652
66.85,4.504397
66.9,4.538606
66.95,4.553741
67,4.514025
67.05,4.524756
67.1,4.324879
67.15,4.114128
67.2,4.067945
67.25,3.976286
67.3,3.913865
67.35,3.714679
67.4,3.399544
67.45,3.278964
67.5,3.157026
67.55,2.939161
67.6,2.808519
67.65,2.86661
67.7,3.087955
67.75,3.434247
67.8,3.453496
67.85,3.451644
67.9,3.327466
67.95,2.906846
68,2.696125
68.05,2.548019
68.1,2.543296
68.15,2.560583
68.2,2.544248
68.25,2.52016
68.3,2.474163
68.35,2.36973
68.4,2.271457
68.45,2.375932
68.5,2.384499
68.55,2.386874
68.6,2.465878
68.65,2.39558
68.7,2.152416
68.75,1.983979
68.8,1.892018
68.85,1.84422
68.9,1.818781
68.95,1.789217
69,1.731535
69.05,1.475583
69.1,1.09203
69.15,0.8789635
69.2,0.8395783
69.25,0.7359476
69.3,0.7140914
69.35,0.7393416
69.4,0.7667482
69.45,0.7802365
69.5,0.8743535
69.55,1.025927
69.6,1.104133
69.65,1.166494
69.7,1.190573
69.75,1.378679
69.8,1.359707
69.85,1.406439
69.9,1.25559
69.95,1.020963
70,0.7095767
70.05,0.530048
70.1,0.4141027
70.15,0.3486119
70.2,0.3467388
70.25,0.3145377
70.3,0.4642941
70.35,0.5881175
70.4,0.6944954
70.45,0.4847198
70.5,0.3685187
70.55,7.60E-02
70.6,-0.159398
70.65,-0.3318699
70.7,-0.4068065
70.75,-0.4080441
70.8,-0.3513635
